dates,prices,mas,signals,returns
2023-09-22 11:57:00,26642.42,26307.0661554016,-1.0,99.97715337974444
2023-09-22 11:58:00,26638.6,26307.104216753403,-1.0,99.97715337974444
2023-09-22 11:59:00,26640.26,26307.142420943914,-1.0,99.97715337974444
2023-09-22 12:00:00,26653.11,26307.181332874385,-1.0,99.97715337974444
2023-09-22 12:01:00,26649.28,26307.2199840812,-1.0,99.97715337974444
2023-09-22 12:02:00,26640.67,26307.2584296347,-1.0,99.97715337974444
2023-09-22 12:03:00,26633.53,26307.29669836077,-1.0,99.97715337974444
2023-09-22 12:04:00,26642.19,26307.335340102367,-1.0,99.97715337974444
2023-09-22 12:05:00,26642.19,26307.37398141373,-1.0,99.97715337974444
2023-09-22 12:06:00,26642.19,26307.412527212462,-1.0,99.97715337974444
2023-09-22 12:07:00,26641.99,26307.451064836696,-1.0,99.97715337974444
2023-09-22 12:08:00,26635.03,26307.489212235912,-1.0,99.97715337974444
2023-09-22 12:09:00,26635.02,26307.52733468138,-1.0,99.97715337974444
2023-09-22 12:10:00,26638.58,26307.565488964392,-1.0,99.97715337974444
2023-09-22 12:11:00,26630.69,26307.60320999868,-1.0,99.97715337974444
2023-09-22 12:12:00,26629.1,26307.640860474094,-1.0,99.97715337974444
2023-09-22 12:13:00,26628.18,26307.678391773843,-1.0,99.97715337974444
2023-09-22 12:14:00,26628.19,26307.715839607597,-1.0,99.97715337974444
2023-09-22 12:15:00,26628.19,26307.753249150257,-1.0,99.97715337974444
2023-09-22 12:16:00,26636.81,26307.791029127024,-1.0,99.97715337974444
2023-09-22 12:17:00,26639.98,26307.828945919173,-1.0,99.97715337974444
2023-09-22 12:18:00,26636.38,26307.866707395748,-1.0,99.97715337974444
2023-09-22 12:19:00,26634.18,26307.904374650407,-1.0,99.97715337974444
2023-09-22 12:20:00,26621.02,26307.941475282856,-1.0,99.97715337974444
2023-09-22 12:21:00,26631.67,26307.979458761754,-1.0,99.97715337974444
2023-09-22 12:22:00,26640.24,26308.017763197495,-1.0,99.97715337974444
2023-09-22 12:23:00,26642.0,26308.05602116764,-1.0,99.97715337974444
2023-09-22 12:24:00,26646.18,26308.09435528974,-1.0,99.97715337974444
2023-09-22 12:25:00,26646.96,26308.13272297033,-1.0,99.97715337974444
2023-09-22 12:26:00,26646.96,26308.170960289095,-1.0,99.97715337974444
2023-09-22 12:27:00,26646.96,26308.209198038094,-1.0,99.97715337974444
2023-09-22 12:28:00,26646.97,26308.247436217327,-1.0,99.97715337974444
2023-09-22 12:29:00,26646.97,26308.285659768502,-1.0,99.97715337974444
2023-09-22 12:30:00,26649.5,26308.32399216966,-1.0,99.97715337974444
2023-09-22 12:31:00,26651.19,26308.36239771111,-1.0,99.97715337974444
2023-09-22 12:32:00,26643.8,26308.400485307375,-1.0,99.97715337974444
2023-09-22 12:33:00,26620.0,26308.437687906007,-1.0,99.97715337974444
2023-09-22 12:34:00,26606.68,26308.474317859112,-1.0,99.97715337974444
2023-09-22 12:35:00,26603.33,26308.511846577436,-1.0,99.97715337974444
2023-09-22 12:36:00,26603.3,26308.54949662261,-1.0,99.97715337974444
2023-09-22 12:37:00,26603.29,26308.58715312134,-1.0,99.97715337974444
2023-09-22 12:38:00,26600.59,26308.624397883203,-1.0,99.97715337974444
2023-09-22 12:39:00,26600.6,26308.661967043812,-1.0,99.97715337974444
2023-09-22 12:40:00,26623.47,26308.700464655994,-1.0,99.97715337974444
2023-09-22 12:41:00,26620.2,26308.73915243296,-1.0,99.97715337974444
2023-09-22 12:42:00,26620.19,26308.777643591588,-1.0,99.97715337974444
2023-09-22 12:43:00,26620.19,26308.816311577648,-1.0,99.97715337974444
2023-09-22 12:44:00,26623.3,26308.85497569157,-1.0,99.97715337974444
2023-09-22 12:45:00,26615.57,26308.893331325526,-1.0,99.97715337974444
2023-09-22 12:46:00,26625.34,26308.932240244343,-1.0,99.97715337974444
2023-09-22 12:47:00,26617.84,26308.970868648594,-1.0,99.97715337974444
2023-09-22 12:48:00,26607.31,26309.00914683988,-1.0,99.97715337974444
2023-09-22 12:49:00,26606.73,26309.047505485494,-1.0,99.97715337974444
2023-09-22 12:50:00,26601.43,26309.085053994724,-1.0,99.97715337974444
2023-09-22 12:51:00,26601.44,26309.122340919817,-1.0,99.97715337974444
2023-09-22 12:52:00,26589.42,26309.159110699966,-1.0,99.97715337974444
2023-09-22 12:53:00,26589.28,26309.195769909194,-1.0,99.97715337974444
2023-09-22 12:54:00,26602.4,26309.232772017353,-1.0,99.97715337974444
2023-09-22 12:55:00,26590.57,26309.268929139926,-1.0,99.97715337974444
2023-09-22 12:56:00,26583.47,26309.304940412138,-1.0,99.97715337974444
2023-09-22 12:57:00,26586.19,26309.341111732534,-1.0,99.97715337974444
2023-09-22 12:58:00,26586.2,26309.37719270315,-1.0,99.97715337974444
2023-09-22 12:59:00,26585.71,26309.413293034435,-1.0,99.97715337974444
2023-09-22 13:00:00,26585.72,26309.449393365718,-1.0,99.97715337974444
2023-09-22 13:01:00,26588.35,26309.48560684935,-1.0,99.97715337974444
2023-09-22 13:02:00,26580.01,26309.52138579355,-1.0,99.97715337974444
2023-09-22 13:03:00,26570.07,26309.556692767692,-1.0,99.97715337974444
2023-09-22 13:04:00,26580.7,26309.59243256032,-1.0,99.97715337974444
2023-09-22 13:05:00,26583.18,26309.628458890827,-1.0,99.97715337974444
2023-09-22 13:06:00,26583.18,26309.6644847911,-1.0,99.97715337974444
2023-09-22 13:07:00,26589.99,26309.700626855374,-1.0,99.97715337974444
2023-09-22 13:08:00,26591.31,26309.7367706406,-1.0,99.97715337974444
2023-09-22 13:09:00,26593.18,26309.772832250546,-1.0,99.97715337974444
2023-09-22 13:10:00,26591.08,26309.808672288407,-1.0,99.97715337974444
2023-09-22 13:11:00,26588.53,26309.84440605771,-1.0,99.97715337974444
2023-09-22 13:12:00,26588.52,26309.879992685943,-1.0,99.97715337974444
2023-09-22 13:13:00,26591.89,26309.915588349155,-1.0,99.97715337974444
2023-09-22 13:14:00,26591.88,26309.951116465145,-1.0,99.97715337974444
2023-09-22 13:15:00,26591.89,26309.98657703392,-1.0,99.97715337974444
2023-09-22 13:16:00,26596.71,26310.02224540719,-1.0,99.97715337974444
2023-09-22 13:17:00,26599.66,26310.058229574468,-1.0,99.97715337974444
2023-09-22 13:18:00,26604.0,26310.094400894865,-1.0,99.97715337974444
2023-09-22 13:19:00,26601.57,26310.130071849562,-1.0,99.97715337974444
2023-09-22 13:20:00,26604.51,26310.166686744367,-1.0,99.97715337974444
2023-09-22 13:21:00,26611.99,26310.203623886733,-1.0,99.97715337974444
2023-09-22 13:22:00,26600.07,26310.240047756284,-1.0,99.97715337974444
