dateTime,open,high,low,close,volume,price,return,strategyReturns,signals,strategyReturn TFS_10.75_570,signals TFS_10.75_570,strategyReturn TFE_8.86_0.04301,signals TFE_8.86_0.04301,"strategyReturn TFCS_12.64_[898, 3]","signals TFCS_12.64_[898, 3]","strategyReturn TFCE_8.75_[0.783906, 0.660514]","signals TFCE_8.75_[0.783906, 0.660514]","strategyReturn TFBBRSI_11.77_[511, 0.0093612, 5]","signals TFBBRSI_11.77_[511, 0.0093612, 5]"
2022-06-05 05:00:00,29722.9,29819.85,29722.89,29793.95,439.88382000,29793.95,0.002390412779372131,9.469334922713728,-1.0,9.469334922713728,-1.0,7.890593936026584,-1.0,10.0,-1.0,10.493148079263623,-1.0,9.728843293418148,0.0
2022-06-05 06:00:00,29793.94,29796.83,29729.7,29729.71,376.08204000,29729.71,-0.002156142438313857,9.469334922713728,-1.0,9.469334922713728,-1.0,7.890593936026584,-1.0,10.0,-1.0,10.493148079263623,1.0,9.728843293418148,0.0
2022-06-05 07:00:00,29729.71,29810.2,29645.67,29645.67,666.95377000,29645.67,-0.00282680187596851,9.469334922713728,-1.0,9.469334922713728,-1.0,7.890593936026584,-1.0,10.0,-1.0,10.463486028588346,1.0,9.728843293418148,0.0
2022-06-05 08:00:00,29645.68,29738.73,29643.93,29691.81,615.97894000,29691.81,0.0015563824329152265,9.469334922713728,-1.0,9.469334922713728,-1.0,7.890593936026584,-1.0,10.0,-1.0,10.479771214430295,1.0,9.728843293418148,0.0
2022-06-05 09:00:00,29691.82,29691.82,29531.42,29639.46,1159.92989000,29639.46,-0.0017631124542425436,9.469334922713728,-1.0,9.469334922713728,-1.0,7.890593936026584,-1.0,10.0,-1.0,10.46129419928452,1.0,9.728843293418148,0.0
2022-06-05 10:00:00,29639.46,29710.0,29600.0,29641.65,493.53234000,29641.65,7.388798581353662e-05,9.469334922713728,-1.0,9.469334922713728,-1.0,7.890593936026584,-1.0,10.0,-1.0,10.462067163241908,1.0,9.728843293418148,0.0
2022-06-05 11:00:00,29641.65,29742.13,29588.95,29718.69,718.61891000,29718.69,0.0025990455996882655,9.469334922713728,-1.0,9.469334922713728,-1.0,7.890593936026584,-1.0,10.0,-1.0,10.489258552866175,-1.0,9.728843293418148,0.0
2022-06-05 12:00:00,29718.69,29780.65,29675.24,29717.99,564.95400000,29717.99,-2.355420107669204e-05,9.469334922713728,-1.0,9.469334922713728,-1.0,7.890593936026584,-1.0,10.0,-1.0,10.489258552866175,-1.0,9.728843293418148,0.0
2022-06-05 13:00:00,29718.0,29754.89,29640.73,29656.46,508.84233000,29656.46,-0.0020704630427563764,9.469334922713728,-1.0,9.469334922713728,-1.0,7.890593936026584,-1.0,10.0,-1.0,10.489258552866175,1.0,9.728843293418148,0.0
2022-06-05 14:00:00,29656.45,29837.86,29626.65,29791.71,1035.92173000,29791.71,0.004560557800897369,9.469334922713728,-1.0,9.469334922713728,-1.0,7.890593936026585,1.0,10.0,-1.0,10.537095422785079,-1.0,9.728843293418148,0.0
2022-06-05 15:00:00,29791.72,29981.0,29781.7,29972.22,1570.92494000,29972.22,0.0060590681098871,9.469334922713728,1.0,9.469334922713728,1.0,7.938403582112431,1.0,10.0,-1.0,10.537095422785079,-1.0,9.728843293418148,0.0
2022-06-05 16:00:00,29972.23,30189.0,29761.0,29866.94,3160.67496000,29866.94,-0.0035125859879582277,9.43607306954892,1.0,9.43607306954892,1.0,7.910519256923146,1.0,10.0,-1.0,10.537095422785079,-1.0,9.728843293418148,0.0
2022-06-05 17:00:00,29866.95,30132.47,29846.38,30021.99,1856.99172000,30021.99,0.005191358739797369,9.485059109947889,1.0,9.485059109947889,1.0,7.9515856002039085,1.0,10.0,-1.0,10.537095422785079,-1.0,9.728843293418148,0.0
2022-06-05 18:00:00,30022.0,30092.09,29979.44,29996.31,904.97902000,29996.31,-0.0008553730115825608,9.476945846371974,1.0,9.476945846371974,1.0,7.944784028482206,1.0,10.0,-1.0,10.537095422785079,-1.0,9.728843293418148,0.0
2022-06-05 19:00:00,29996.31,30100.0,29956.07,30049.86,744.61866000,30049.86,0.0017852195820085015,9.493864275674552,1.0,9.493864275674552,1.0,7.958967212504682,1.0,10.0,-1.0,10.537095422785079,-1.0,9.728843293418148,0.0
2022-06-05 20:00:00,30049.85,30127.47,29945.84,29945.84,793.84855000,29945.84,-0.0034615801870624407,9.461000503199218,1.0,9.461000503199218,1.0,7.931416609292396,1.0,10.0,-1.0,10.537095422785079,1.0,9.728843293418148,0.0
2022-06-05 21:00:00,29945.85,29996.75,29815.75,29965.23,1006.36058000,29965.23,0.0006475022908023487,9.46712652269832,1.0,9.46712652269832,1.0,7.93655221971622,1.0,10.0,-1.0,10.543918216209734,1.0,9.728843293418148,0.0
2022-06-05 22:00:00,29965.23,30070.83,29875.01,30022.67,1946.38215000,30022.67,0.0019168883402529424,9.48527394714538,1.0,9.48527394714538,1.0,7.951765704128003,1.0,10.0,-1.0,10.564129730098967,-1.0,9.728843293418148,0.0
2022-06-05 23:00:00,30022.67,30050.92,29894.89,29919.21,1215.85126000,29919.21,-0.0034460625920346155,9.452587099420922,1.0,9.452587099420922,1.0,7.924363421794384,1.0,10.0,-1.0,10.564129730098967,1.0,9.728843293418148,0.0
2022-06-06 00:00:00,29919.2,30396.99,29890.23,30301.7,2491.61974000,30301.7,0.01278409423243465,9.573429863640216,1.0,9.573429863640216,1.0,8.025669230510662,1.0,10.0,-1.0,10.699182560052217,-1.0,9.728843293418148,0.0
2022-06-06 01:00:00,30301.69,30924.56,30301.69,30844.07,5378.11621000,30844.07,0.01789899576591414,9.744784644234787,1.0,9.744784644234787,1.0,8.169320650086199,1.0,10.0,-1.0,10.699182560052217,-1.0,9.728843293418148,1.0
2022-06-06 02:00:00,30844.06,31145.32,30844.06,30926.11,4177.22499000,30926.11,0.002659830560623133,9.770704120238216,1.0,9.770704120238216,1.0,8.191049658810828,1.0,10.0,-1.0,10.699182560052217,-1.0,9.754720368129496,1.0
2022-06-06 03:00:00,30926.12,31276.87,30926.11,31251.0,6152.95419000,31251.0,0.010505362620775838,9.873348910081626,1.0,9.873348910081626,1.0,8.277099605721418,1.0,10.0,-1.0,10.699182560052217,-1.0,9.857197242860963,1.0
2022-06-06 04:00:00,31250.99,31357.0,31148.43,31222.91,2376.70920000,31222.91,-0.0008988512367604784,9.864474238202831,1.0,9.864474238202831,1.0,8.269659724504026,1.0,10.0,-1.0,10.699182560052217,-1.0,9.848337088928226,1.0
2022-06-06 05:00:00,31222.91,31283.34,31153.6,31169.05,1937.11907000,31169.05,-0.0017250153813337388,9.84745786841316,1.0,9.84745786841316,1.0,8.25539443428086,1.0,10.0,-1.0,10.699182560052217,-1.0,9.831348555969265,1.0
2022-06-06 06:00:00,31169.05,31434.75,31160.42,31274.23,2619.20575000,31274.23,0.0033745013081887265,9.880688127872455,1.0,9.880688127872455,1.0,8.283252273598954,1.0,10.0,-1.0,10.699182560052217,-1.0,9.864524454532642,0.0
2022-06-06 07:00:00,31274.23,31393.15,31196.74,31292.77,2240.20227000,31292.77,0.0005928203508127616,9.886545600874692,1.0,9.886545600874692,1.0,8.28816275411766,1.0,10.0,-1.0,10.699182560052217,-1.0,9.87037234538038,0.0
2022-06-06 08:00:00,31292.76,31483.28,31281.0,31469.28,2697.09011000,31469.28,0.005640600049148681,9.942311650476896,1.0,9.942311650476896,1.0,8.334912965355889,1.0,10.0,-1.0,10.699182560052217,-1.0,9.926047168116849,0.0
2022-06-06 09:00:00,31469.27,31550.0,31380.0,31475.14,2231.52074000,31475.14,0.00018621334838297976,9.944163041619998,1.0,9.944163041619998,1.0,8.336465037407647,1.0,10.0,-1.0,10.699182560052217,-1.0,9.927895530596231,0.0
2022-06-06 10:00:00,31475.13,31535.9,31390.0,31483.19,1653.15499000,31483.19,0.000255757400920098,9.94670633491385,1.0,9.94670633491385,1.0,8.338597150038478,1.0,10.0,-1.0,10.699182560052217,-1.0,9.930434663353743,1.0
2022-06-06 11:00:00,31483.19,31599.37,31338.37,31396.71,2651.56181000,31396.71,-0.0027468626908517813,9.919384098385615,1.0,9.919384098385615,1.0,8.315692168632994,1.0,10.0,-1.0,10.699182560052217,1.0,9.903157122873035,0.0
2022-06-06 12:00:00,31396.72,31479.57,31346.95,31408.96,1933.57207000,31408.96,0.0003901682692231123,9.923254327311042,1.0,9.923254327311042,1.0,8.318936687853821,1.0,10.0,-1.0,10.703357041593774,1.0,9.90702102054751,0.0
2022-06-06 13:00:00,31408.97,31527.9,31256.0,31442.96,4312.83641000,31442.96,0.001082493657860617,9.933996187185695,1.0,9.933996187185695,1.0,8.327941884058568,1.0,10.0,-1.0,10.714943357709117,-1.0,9.917745307970547,0.0
2022-06-06 14:00:00,31442.96,31765.64,31421.73,31506.69,4918.62416000,31506.69,0.0020268448008711193,9.954130855709566,1.0,9.954130855709566,1.0,8.344821329768228,1.0,10.0,-1.0,10.714943357709117,-1.0,9.937847038484371,0.0
2022-06-06 15:00:00,31506.69,31559.41,31162.55,31541.42,5502.63391000,31541.42,0.001102305573832174,9.965103349634468,1.0,9.965103349634468,1.0,8.354019872832666,1.0,10.0,-1.0,10.714943357709117,-1.0,9.948801582666782,0.0
2022-06-06 16:00:00,31541.41,31555.75,31223.78,31310.95,3354.61617000,31310.95,-0.007306899942995493,9.892289336537079,1.0,9.892289336537079,1.0,8.29297788550008,1.0,10.0,-1.0,10.714943357709117,1.0,9.876106684949521,0.0
2022-06-06 17:00:00,31310.95,31372.99,31000.01,31346.12,3330.05141000,31346.12,0.0011232492147315032,9.903400842766242,1.0,9.903400842766242,1.0,8.302292966397754,1.0,10.0,-1.0,10.726978909421558,1.0,9.887200014027995,0.0
2022-06-06 18:00:00,31346.12,31437.6,31230.24,31349.5,2019.47844000,31349.5,0.00010782833728706365,9.904468710012605,1.0,9.904468710012605,1.0,8.303188188843992,1.0,10.0,-1.0,10.728135581721473,1.0,9.888266134365933,0.0
2022-06-06 19:00:00,31349.5,31483.96,31244.99,31470.72,1765.41874000,31470.72,0.0038667283369751004,9.942766599836293,1.0,9.942766599836293,1.0,8.335294361901031,1.0,10.0,-1.0,10.769618367578227,-1.0,9.926501373231236,0.0
2022-06-06 20:00:00,31470.72,31542.66,31272.39,31462.49,1816.14991000,31462.49,-0.0002615129237589775,9.940166437872518,1.0,9.940166437872518,1.0,8.333114574702059,1.0,10.0,-1.0,10.769618367578227,-1.0,9.923905464834426,0.0
