signal,btc,usdt,time,price,quantity,commission,fillsLength
-1,0.0,14.002369900000003,1678370469091,21703.87000000,0.00064000,0.00000000,1
1,0.00064,0.1482067000000029,1678377708465,21647.13000000,0.00064000,0.00000000,1
-1,0.0,12.925192300000003,1678438864728,19964.04000000,0.00064000,0.00000000,1
1,0.00065,0.007586300000005153,1678442465679,19873.24000000,0.00065000,0.00000000,1
-1,0.0,12.972665800000005,1678453273563,19946.28000000,0.00065000,0.00000000,2
1,0.00065,0.04608980000000251,1678460474501,19887.04000000,0.00065000,0.00000000,1
-1,0.0,13.033388800000003,1678464082339,19980.46000000,0.00065000,0.00000000,1
1,0.00065,0.11391080000000464,1678474869508,19876.12000000,0.00065000,0.00000000,1
-1,0.0,13.118378600000005,1678478475977,20007.30000000,0.00065000,0.00000000,2
1,0.00064,0.10725540000000322,1678510910662,20329.88000000,0.00064000,0.00000000,1
-1,0.0,13.158679400000004,1678514538674,20392.85000000,0.00064000,0.00000000,1
1,0.00064,0.1727914000000048,1678518086914,20290.45000000,0.00064000,0.00000000,1
-1,0.0,13.034973800000005,1678543273574,20097.16000000,0.00064000,0.00000000,1
1,0.00064,0.1908394000000051,1678550485035,20068.96000000,0.00064000,0.00000000,1
-1,0.0,13.169060200000006,1678557691593,20278.47000000,0.00064000,0.00000000,1
1,0.00064,0.1181418000000054,1678590139776,20392.06000000,0.00064000,0.00000000,1
-1,0.0,13.170007400000005,1678597312722,20393.54000000,0.00064000,0.00000000,1
1,0.00064,0.13501220000000558,1678600946737,20367.18000000,0.00064000,0.00000000,1
-1,0.0,13.190129000000006,1678611681776,20398.62000000,0.00064000,0.00000000,1
1,0.00064,0.1485930000000053,1678626063402,20377.40000000,0.00064000,0.00000000,1
-1,0.0,13.202417000000006,1678640490817,20396.60000000,0.00064000,0.00000000,1
1,0.00059,0.1156329000000067,1678698073754,22180.99000000,0.00059000,0.00000000,1
-1,0.0,13.186463400000006,1678712463652,22153.95000000,0.00059000,0.00000000,1
1,0.00054,0.1648702000000064,1678752124533,24113.08000000,0.00054000,0.00000000,2
-1,0.0,13.204433800000006,1678755704777,24147.34000000,0.00054000,0.00000000,1
1,0.00054,0.10338040000000603,1678780906837,24261.21000000,0.00054000,0.00000000,1
-1,0.0,13.219062400000006,1678788069565,24288.30000000,0.00054000,0.00000000,1
1,0.00051,0.19424380000000596,1678816871175,25538.86000000,0.00051000,0.00000000,1
-1,0.0,12.886904500000005,1678845693029,24887.57000000,0.00051000,0.00000000,1
1,0.00052,0.023664500000004196,1678852881777,24737.00000000,0.00052000,0.00000000,1
-1,0.0,12.926315300000004,1678856502907,24812.79000000,0.00052000,0.00000000,1
1,0.00052,0.06804570000000432,1678860138986,24727.44000000,0.00052000,0.00000000,2
-1,0.0,13.000731700000005,1678867290518,24870.55000000,0.00052000,0.00000000,1
1,0.00052,0.13200050000000552,1678870854969,24747.56000000,0.00052000,0.00000000,1
-1,0.0,12.975828900000005,1678881666692,24699.67000000,0.00052000,0.00000000,1
1,0.00052,0.13722650000000414,1678892459235,24689.62000000,0.00052000,0.00000000,1
-1,0.0,12.833031700000005,1678906862638,24415.01000000,0.00052000,0.00000000,1
1,0.00052,0.19687570000000498,1678910475537,24300.30000000,0.00052000,0.00000000,1
-1,0.0,12.899388900000005,1678917678188,24427.91000000,0.00052000,0.00000000,1
1,0.00053,0.030485400000003438,1678924918140,24280.95000000,0.00053000,0.00000000,1
-1,0.0,12.920827400000004,1678932093177,24321.40000000,0.00053000,0.00000000,1
1,0.00053,0.05894110000000374,1678939298904,24267.71000000,0.00053000,0.00000000,1
-1,0.0,12.971871700000003,1678946514984,24364.02000000,0.00053000,0.00000000,1
1,0.00052,0.1156205000000039,1678971659686,24723.56000000,0.00052000,0.00000000,1
-1,0.0,13.018125700000004,1678975257672,24812.51000000,0.00052000,0.00000000,1
1,0.00052,0.14318050000000326,1678986060921,24759.51000000,0.00052000,0.00000000,1
-1,0.0,13.036840500000004,1678993263254,24795.50000000,0.00052000,0.00000000,1
1,0.00052,0.18561250000000307,1679000457893,24713.90000000,0.00052000,0.00000000,1
-1,0.0,13.133544900000002,1679004084032,24899.87000000,0.00052000,0.00000000,1
1,0.00049,0.14756490000000255,1679061658077,26502.00000000,0.00049000,0.00000000,1
-1,0.0,13.114841700000003,1679076101112,26463.84000000,0.00049000,0.00000000,2
1,0.00048,0.01652520000000557,1679108524389,27288.12000000,0.00048000,0.00000000,2
-1,0.0,13.133125200000006,1679115709264,27326.25000000,0.00048000,0.00000000,1
1,0.00048,0.023773200000006156,1679126484657,27311.15000000,0.00048000,0.00000000,1
-1,0.0,13.180126800000005,1679133667661,27409.07000000,0.00048000,0.00000000,1
1,0.00048,0.017878800000003636,1679148051336,27421.35000000,0.00048000,0.00000000,1
-1,0.0,13.230133200000004,1679151655248,27525.53000000,0.00048000,0.00000000,1
1,0.00048,0.16884840000000523,1679155256588,27211.01000000,0.00048000,0.00000000,1
-1,0.0,13.174803600000006,1679187698821,27095.74000000,0.00048000,0.00000000,1
1,0.00048,0.1601172000000055,1679202116509,27113.93000000,0.00048000,0.00000000,1
-1,0.0,13.136360400000006,1679220062755,27033.84000000,0.00048000,0.00000000,1
1,0.00047,0.011225000000006702,1679259661595,27925.82000000,0.00047000,0.00000000,1
-1,0.0,13.227244300000006,1679266897522,28119.19000000,0.00047000,0.00000000,1
1,0.00047,0.1291950000000064,1679274094877,27868.19000000,0.00047000,0.00000000,1
-1,0.0,13.080717100000006,1679292118262,27556.43000000,0.00047000,0.00000000,1
1,0.00046,0.26119330000000573,1679320852170,27868.53000000,0.00046000,0.00000000,1
-1,0.0,13.182027500000006,1679324456520,28088.77000000,0.00046000,0.00000000,1
1,0.00047,0.15803140000000582,1679328057793,27710.63000000,0.00047000,0.00000000,1
-1,0.0,13.318294600000005,1679338854927,28000.56000000,0.00047000,0.00000000,1
1,0.00047,0.2518058000000032,1679342462387,27801.04000000,0.00047000,0.00000000,1
-1,0.0,13.427064200000004,1679346059470,28032.68000000,0.00047000,0.00000000,2
